BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
070341001690,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМИР ЖОЛЫ"" - ""КАЗАЛИНСКАЯ ДИСТАНЦИЯ СИГНАЛИЗАЦИИ И СВЯЗИ""",61900,Другие виды телекоммуникационных услуг,434430100,п. Айтеке Би,305,Крупное предприятие (251 - 500 чел.)
070341008221,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КЫЗЫЛОРДИНСКАЯ ДИСТАНЦИЯ СИГНАЛИЗАЦИИ И СВЯЗИ""",61900,Другие виды телекоммуникационных услуг,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
070541014164,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРГАН-КАЗАТОМПРОМ"" ""ШИЕЛИ КОРГАН-КАЗАТОМПРОМ",80100,Деятельность частных охранных служб,435230100,с. ШИЕЛИ,305,Крупное предприятие (251 - 500 чел.)
070641025391,"КЫЗЫЛОРДИНСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКИФ ТРЕЙД""",47191,Прочая розничная торговля в неспециализированных магазинах,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
070840000754,"ТОО ""СРЕДНЕАЗИАТСКИЙ ТРАНСПОРТ""",49410,Грузовые перевозки автомобильным транспортом,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
070840007296,"ТОО ""СКЗ-U """,20130,Производство прочих основных неорганических химических веществ,434030100,с. ЖАНАКОРГАН,305,Крупная компания (251 - 500 чел.)
070940014420,"ТОО ""ОПЫТНОЕ ХОЗЯЙСТВО ""ТОГУСКЕНСКИЙ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",434033100,с. ТУГИСКЕН,305,Крупная компания (251 - 500 чел.)
070940019530,"ТОО ""ASA-ХОЛДИНГ""",52291,Транспортно-экспедиционные услуги,431010000,г. Кызылорда,305,Крупная компания (251 - 500 чел.)
071040013244,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПОРТИВНЫЙ КЛУБ ""ҚАЙНАР""",94990,"Деятельность прочих общественных организаций, не включенных в другие группировки",431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
080440003924,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛОРДИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ""",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
081240016634,"РЕСПУБЛИКАНСКОЕ ГОС. КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КЫЗЫЛОРДИНСКИЙ ОБЛАСТНОЙ ЦЕНТР САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОЙ ЭКСПЕРТИЗЫ"" КОМИТЕТА ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",71201,Деятельность санитарно-эпидемиологических учреждений,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
