BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
020140002301,"Государственное учреждение ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ ГОРОДА АЛМАТЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",80100,Деятельность частных охранных служб,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
020241004365,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ"" - ""АЛМАТИНСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",52211,Эксплуатация железных дорог,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
020340002288,"ТОО ""СКИФ ТРЕЙД""",47191,Прочая розничная торговля в неспециализированных магазинах,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
020441006983,"АЛМАТИНСКИЙ ФИЛИАЛ №1 АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
030340003228,"ТОО ""ТАРЛАН СЕКЬЮРИТИ""",80100,Деятельность частных охранных служб,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
030640006605,"ТОО ""KAZ PRESS""",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
030641001991,"ФИЛИАЛ ""УПРАВЛЕНИЕ МАГИСТРАЛЬНЫХ ГАЗОПРОВОДОВ ""ЮЖНЫЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ИНТЕРГАЗ ЦЕНТРАЛЬНАЯ АЗИЯ""",49500,Транспортирование по трубопроводу,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
031240002398,"АО ""АЛМАТИНСКИЙ ВАГОНОРЕМОНТНЫЙ ЗАВОД""",33171,Ремонт подвижного состава железных дорог,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
031240004969,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ АБАЯ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
040140001147,"АО ""СТРАХОВАЯ КОМПАНИЯ ""НОМАД ИНШУРАНС""",65122,Негосударственное страхование ущерба,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
040640000098,"ТОО ""ЖЕДЕЛ КУЗЕТ""",80100,Деятельность частных охранных служб,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
040740002920,"ТОО ""ФРАНЦУЗСКИЙ ДОМ BSB (БИ-ЭС-БИ)""",47191,Прочая розничная торговля в неспециализированных магазинах,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
